source,destiny,category
7161326948,8397034114,10
7161326948,5839917520,10
7161326948,7608395927,10
7161326948,2437640465,10
7161326948,2178993582,15
7161326948,7574577486,15
7161326948,261141755,15
7161326948,1801767144,15
5498434064,4976175495,10
5498434064,2462932069,10
5498434064,2462932083,10
5498434064,4070508923,10
5498434064,5492881614,15
5498434064,7080881530,15
5498434064,766950422,15
5498434064,3247227074,15
1633509281,261293554,10
1633509281,5495362511,10
1633509281,2404073304,10
1633509281,2428179958,10
1633509281,7506349523,15
1633509281,368377460,15
1633509281,3611117463,15
1633509281,261214477,15
261122102,261266864,10
261122102,2201356144,10
261122102,2393990223,10
261122102,261161034,10
261122102,261119856,15
261122102,4131039966,15
261122102,261135167,15
261122102,6595631551,15
3409732496,2277981394,10
3409732496,7874601402,10
3409732496,261230028,10
3409732496,1675127004,10
3409732496,5493103383,15
3409732496,2388869520,15
3409732496,9269705195,15
3409732496,6774930751,15
5493541437,5533664270,10
5493541437,2391279860,10
5493541437,345515000,10
5493541437,7624720172,10
5493541437,5159338951,15
5493541437,5533382342,15
5493541437,7342408453,15
5493541437,406157195,15
2334185575,1746182886,10
2334185575,1842179730,10
2334185575,9136380846,10
2334185575,261148733,10
2334185575,2420457540,15
2334185575,7222753051,15
2334185575,5495436935,15
2334185575,261223455,15
365489195,5495902873,10
365489195,5495543413,10
365489195,367776936,10
365489195,2437640540,10
365489195,261203702,15
365489195,5493596599,15
365489195,2396791047,15
365489195,5492801683,15
2077258482,365019821,10
2077258482,3338544205,10
2077258482,6590071357,10
2077258482,6205073045,10
2077258482,9309565653,15
2077258482,7512371411,15
2077258482,2284331753,15
2077258482,874440312,15
4602737657,5496321523,10
4602737657,2174477836,10
4602737657,1724474319,10
4602737657,1977388034,10
4602737657,5493534715,15
4602737657,261228604,15
4602737657,5493394449,15
4602737657,6784518185,15
5498172352,8559262239,10
5498172352,4049482198,10
5498172352,261166397,10
5498172352,8442097269,10
5498172352,1679550759,15
5498172352,5492881631,15
5498172352,5242961308,15
5498172352,261281113,15
261133878,3721576708,10
261133878,369882168,10
261133878,5495865184,10
261133878,1438350865,10
261133878,5651936611,15
261133878,2274489624,15
261133878,5686480511,15
261133878,2427266701,15
2179102861,7087482085,10
2179102861,5156364808,10
2179102861,4520319867,10
2179102861,2460939695,10
2179102861,8495096675,15
2179102861,5492815378,15
2179102861,4035489514,15
2179102861,8849080363,15
261271681,261270976,10
261271681,8079773421,10
261271681,5595728128,10
261271681,5493488237,10
261271681,8495102243,15
261271681,8999768212,15
261271681,4156112929,15
261271681,1888843809,15
26794584,366580622,10
26794584,2435818021,10
26794584,6483279749,10
26794584,8203495740,10
