source,destiny,category
5443316116,6331838083,1
5443316116,6332106803,1
5443316116,65327966,1
5443316116,65327964,1
5443316116,4941850033,2
5443316116,5443218782,2
5443316116,5443218887,2
5443316116,8430563478,2
5443316116,5449474039,3
5443316116,65288967,3
5443316116,65307830,3
5443316116,364489124,3
5443316116,4646239110,4
5443316116,8984667325,4
5443316116,65312274,4
5443316116,65322916,4
5443316116,6376364846,5
5443316116,65323735,5
5443316116,4126311581,5
5443316116,300459914,5
5443316116,8379044123,6
5443316116,8904939092,6
5443316116,65280326,6
5443316116,1712523123,6
5443316116,4883856618,7
5443316116,65288577,7
5443316116,1308305433,7
5443316116,65306802,7
6250503693,7209438683,1
6250503693,4019009286,1
6250503693,2356786798,1
6250503693,65307359,1
6250503693,7233543541,2
6250503693,6514737756,2
6250503693,4089793020,2
6250503693,65303248,2
6250503693,65296818,3
6250503693,6925558132,3
6250503693,7056240086,3
6250503693,6940400279,3
6250503693,5443111050,4
6250503693,5012731550,4
6250503693,4547300241,4
6250503693,5427594694,4
6250503693,6333610957,5
6250503693,4352394509,5
6250503693,6346193773,5
6250503693,6336997297,5
6250503693,65322390,6
6250503693,8221193892,6
6250503693,5021769690,6
6250503693,2393559914,6
6250503693,275844536,7
6250503693,5443319200,7
6250503693,6501495868,7
6250503693,65327334,7
4265248923,6550499871,1
4265248923,4417241424,1
4265248923,4417156873,1
4265248923,764853460,1
4265248923,1837300188,2
4265248923,8373635637,2
4265248923,5433789642,2
4265248923,8262971261,2
4265248923,8416545267,3
4265248923,65308567,3
4265248923,7935336135,3
4265248923,65307184,3
4265248923,258760426,4
4265248923,6673045053,4
4265248923,6866167569,4
4265248923,6840949233,4
4265248923,6744826040,5
4265248923,65329581,5
4265248923,8984667235,5
4265248923,6355820394,5
4265248923,4183593237,6
4265248923,5437055109,6
4265248923,65288014,6
4265248923,6358837181,6
4265248923,6967668525,7
4265248923,65374771,7
4265248923,6967668530,7
4265248923,1815468472,7
6356891340,258916780,1
6356891340,6356890660,1
6356891340,65322166,1
6356891340,6356892387,1
6356891340,1041059654,2
6356891340,4302065303,2
6356891340,65320535,2
6356891340,5440186616,2
6356891340,4062847018,3
6356891340,2269180957,3
6356891340,6353342956,3
6356891340,8894452544,3
6356891340,315431535,4
6356891340,2179343901,4
6356891340,528517489,4
6356891340,1211585290,4
6356891340,3763314222,5
6356891340,65320022,5
6356891340,6357448417,5
6356891340,65357721,5
6356891340,6357367982,6
6356891340,3117933958,6
6356891340,5433624436,6
6356891340,8436023549,6
6356891340,5040162107,7
6356891340,65302051,7
6356891340,4177860419,7
6356891340,5021769686,7
4087530704,65339622,1
4087530704,1659566345,1
4087530704,4904298965,1
4087530704,65325273,1
4087530704,4272343299,2
4087530704,65329420,2
4087530704,4243114733,2
4087530704,1350266846,2
4087530704,6331837965,3
4087530704,4941849267,3
4087530704,7415846310,3
4087530704,5443305757,3
4087530704,6348551986,4
4087530704,5443347686,4
4087530704,4941850426,4
4087530704,65296767,4
4087530704,65301658,5
4087530704,4289372818,5
4087530704,4911186286,5
4087530704,5551421934,5
4087530704,4941620877,6
4087530704,2378756165,6
4087530704,6357368690,6
4087530704,997382762,6
4087530704,65306774,7
4087530704,65325879,7
4087530704,6940426641,7
4087530704,3526811054,7
1207466274,833665804,1
1207466274,65325222,1
1207466274,7234287219,1
1207466274,7209254438,1
1207466274,7233543541,2
1207466274,6339001615,2
1207466274,7231525054,2
1207466274,65360287,2
1207466274,2548141872,3
1207466274,7231176090,3
1207466274,5325093662,3
1207466274,6338827137,3
1207466274,5438253613,4
1207466274,65309827,4
1207466274,6940438854,4
1207466274,5352469999,4
1207466274,4904249933,5
1207466274,7562496602,5
1207466274,8075099348,5
1207466274,581047109,5
1207466274,65288862,6
1207466274,258968251,6
1207466274,5432252661,6
1207466274,8436211489,6
1207466274,1211594179,7
1207466274,1220797880,7
1207466274,3066641467,7
1207466274,65302760,7
4205780760,6348636074,1
4205780760,65298926,1
4205780760,65322828,1
4205780760,6358814385,1
4205780760,6357368479,2
4205780760,6357447740,2
4205780760,65327079,2
4205780760,7226594258,2
4205780760,3526781502,3
4205780760,65337517,3
4205780760,6346197524,3
4205780760,8069941478,3
4205780760,4003651707,4
4205780760,65294353,4
4205780760,1809560873,4
4205780760,1602083441,4
4205780760,65307677,5
4205780760,6754435600,5
4205780760,8221193911,5
4205780760,65328033,5
4205780760,2679897695,6
4205780760,5433624461,6
4205780760,8385447677,6
4205780760,8365823193,6
4205780760,6925503725,7
4205780760,7678717046,7
4205780760,6330282360,7
4205780760,258911621,7
6333440544,4941850053,1
6333440544,65325111,1
6333440544,6331838226,1
6333440544,4911186552,1
6333440544,1468895839,2
6333440544,65305117,2
6333440544,268147030,2
6333440544,4103832533,2
6333440544,6940438860,3
6333440544,6503104141,3
6333440544,65280295,3
6333440544,65310163,3
6333440544,4941620715,4
6333440544,7228981003,4
6333440544,266903684,4
6333440544,6348551582,4
6333440544,65294235,5
6333440544,1472411096,5
6333440544,5841552320,5
6333440544,6391747715,5
6333440544,7217057134,6
6333440544,7893127496,6
6333440544,761541319,6
6333440544,5437461548,6
6333440544,4018688216,7
6333440544,7416074341,7
6333440544,5759878966,7
6333440544,5062268974,7
4904274504,8075871555,1
4904274504,8066970983,1
4904274504,8075871585,1
4904274504,65330304,1
4904274504,7124783975,2
4904274504,359982939,2
4904274504,65348220,2
4904274504,313892700,2
4904274504,65321666,3
4904274504,65339586,3
4904274504,4782162709,3
4904274504,6180237522,3
4904274504,7092534062,4
4904274504,6356951874,4
4904274504,4035920539,4
4904274504,6356743340,4
4904274504,65304176,5
4904274504,3158821071,5
4904274504,1381372024,5
4904274504,8416833624,5
4904274504,5442980894,6
4904274504,5852597261,6
4904274504,6353341916,6
4904274504,297857235,6
4904274504,65333227,7
4904274504,65322345,7
