source,destiny,category
5443316116,1472979902,10
5443316116,6356789744,10
5443316116,6356789748,10
5443316116,1130723208,10
6250503693,65325284,10
6250503693,6353362563,10
6250503693,4295234183,10
6250503693,4087588332,10
4265248923,5440458828,10
4265248923,65313233,10
4265248923,65340031,10
4265248923,4702686357,10
6356891340,8574374176,10
6356891340,65282848,10
6356891340,6332106797,10
6356891340,6332149826,10
4087530704,369131446,10
4087530704,7231498251,10
4087530704,5426873439,10
4087530704,7231121766,10
1207466274,6348549432,10
1207466274,3763314221,10
1207466274,65336266,10
1207466274,5440674470,10
4205780760,7231450045,10
4205780760,7983595267,10
4205780760,6326294821,10
4205780760,65299282,10
6333440544,5440487725,10
6333440544,65318544,10
6333440544,1729249092,10
6333440544,1201411592,10
4904274504,6925181366,10
4904274504,5434001072,10
4904274504,5449473610,10
4904274504,5441207099,10
6331838327,65375171,10
6331838327,440853800,10
6331838327,5040162055,10
6331838327,4207308623,10
300726889,65346746,10
300726889,65327998,10
300726889,4294109059,10
300726889,8649564865,10
65376337,1111549321,10
65376337,65360676,10
65376337,65359373,10
65376337,65364225,10
65318549,65292434,10
65318549,7231068042,10
65318549,5318541597,10
65318549,8703162036,10
65304017,1286947301,10
65304017,5439328870,10
65304017,5440333916,10
65304017,5440697536,10
313890569,5443218936,10
313890569,5429032516,10
313890569,2914847052,10
313890569,65322710,10
8433575303,4904249944,10
8433575303,5475063593,10
8433575303,65293848,10
8433575303,65360649,10
260190664,1249336079,10
260190664,65295850,10
260190664,8050454668,10
260190664,302481304,10
4703074655,65320652,10
4703074655,364489124,10
4703074655,768238774,10
4703074655,2029423659,10
8089926004,559544926,10
8089926004,7521766757,10
8089926004,65322399,10
8089926004,6966146716,10
65330923,4035865576,10
65330923,1601995492,10
65330923,3526811054,10
65330923,4944769439,10
65350138,65297770,10
65350138,6333610944,10
65350138,6357368688,10
65350138,7134800061,10
5433624624,4962820922,10
5433624624,3831814109,10
5433624624,65337310,10
5433624624,258281365,10
4505729198,4406691694,10
4505729198,7228212652,10
4505729198,7209252682,10
4505729198,7234287228,10
6201193218,343556129,10
6201193218,4035920539,10
6201193218,6357274188,10
6201193218,302481936,10
4941850086,315362134,10
4941850086,3752785599,10
4941850086,4900880801,10
4941850086,7155489963,10
1583149986,1241673441,10
1583149986,6329652638,10
1583149986,8489942576,10
1583149986,1270672016,10
274472011,4770316128,10
274472011,8050721459,10
274472011,65324997,10
274472011,100656610,10
8416545245,4962821029,10
8416545245,6624444958,10
8416545245,4962820961,10
8416545245,4962820987,10
4417156861,364486644,10
4417156861,5475021216,10
4417156861,65344053,10
4417156861,8050466487,10
7234098522,6356744286,10
7234098522,65282840,10
7234098522,6595312724,10
7234098522,5442245608,10
65299833,4409246997,10
65299833,4962820987,10
65299833,3512744858,10
65299833,65351708,10
367073488,4294165490,10
367073488,5443144299,10
367073488,4272360771,10
367073488,6484874505,10
65310645,65355942,10
65310645,2071244888,10
65310645,7228212674,10
65310645,364486010,10
65310820,7732585293,10
65310820,4962821029,10
65310820,4962821037,10
65310820,4962820922,10
2724724672,633687895,10
2724724672,5429618404,10
2724724672,8355741947,10
2724724672,7332987492,10
2059530690,6326295095,10
2059530690,741751306,10
2059530690,258956665,10
2059530690,7983597744,10
